"id","question","answer_a","answer_b","answer_c","correct","media","points","category"
"3429","Którą z wymienionych czynności należy wykonać, kierując samochodem osobowym w nocy podczas mgły?","Zmniejszyć prędkość.","Włączyć światła drogowe w celu polepszenia widoczności.","Jechać bardzo blisko poprzedzającego pojazdu, aby widzieć jego światła pozycyjne.","A","","1","B"
"3523","Kierujesz samochodem osobowym. Jak powinieneś postąpić w czasie przejazdu przez rozległą kałużę?","Zdecydowanie przyśpieszyć.","Gwałtownie przyhamować.","Płynnie zmniejszyć prędkość jazdy.","C","","1","B"
"3573","Jesteś świadkiem potrącenia pieszego. Jak powinieneś się zachować?","Nie podejmować działań, gdyż pomocy musi udzielić sprawca wypadku.","Wezwać pomoc drogową.","Zatrzymać się, wezwać pomoć medyczną i udzielić pierwszej pomocy poszkodowanemu.","C","","1","B,B1"
"3615","Z jaką dopuszczalną maksymalną prędkością wolno Ci kierować samochodem osobowym z przyczepą po drodze za tym znakiem?","70 km/h.","80 km/h.","140 km/h.","B","IMG_7802d8_a_org.jpg","1","B"
"3617","Z jaką maksymalną dopuszczalną prędkością wolno Ci kierować samochodem osobowym po drodze za tym znakiem?","120 km/h.","130 km/h.","140 km/h.","C","IMG_7802d8_a_org.jpg","1","B"
"3618","Z jaką maksymalną dopuszczalną prędkością wolno Ci kierować samochodem osobowym po drodze za tym znakiem?","70 km/h.","100 km/h.","90 km/h.","C","0978D14MM koniec obszaruorgbm.jpg","1","B"
"3620","Z jaką maksymalną dopuszczalną prędkością wolno Ci kierować samochodem osobowym po drodze za tym znakiem?","20 km/h.","30 km/h.","50 km/h.","A","3475D15orgbm.jpg","1","B"
"3623","Z jaką maksymalną dopuszczalną prędkością wolno Ci kierować samochodem osobowym po drodze za tym znakiem?","110 km/h.","120 km/h.","140 km/h.","B","0229D14MM_a - dr.eksp.dwujezd._org.jpg","1","B"
"3625","Jaki odstęp należy zachować podczas wymijania samochodem osobowym innego pojazdu?","Bezpieczny, ale nie mniejszy niż 1,5 metra.","Bezpieczny, uzależniony od szerokości jezdni i warunków ruchu.","Bezpieczny, czyli zawsze taki sam.","B","","1","B"
"3626","Podczas wykonywania którego z wymienionych manewrów masz obowiązek zachować odstęp nie mniejszy niż 1 metr od pojazdu?","Wymijania samochodu osobowego.","Wyprzedzania roweru.","Omijania dowolnego pojazdu.","B","","1","B,B1"
"3627","Jaki odstęp należy zachować podczas omijania samochodem osobowym przeszkody na drodze?","Bezpieczny, ale nie mniejszy niż 0,8 metra.","Bezpieczny, czyli zawsze jednakowy.","Bezpieczny, uzależniony od szerokości jezdni i warunków ruchu.","C","","1","B"
"3628","Jaki odstęp należy zachować podczas wyprzedzania samochodu osobowego?","Bezpieczny, uzależniony od szerokości jezdni i warunków ruchu.","Bezpieczny, ale większy niż 1,5 metra.","Bezpieczny, ale mniejszy niż 0,5 metra.","A","","1","B,B1"
"3629","Jaki odstęp należy zachować podczas wyprzedzania motocykla?","Bezpieczny, ale nie większy niż 0,5 metra.","Bezpieczny, ale nie większy niż 1 metr.","Bezpieczny, ale nie mniejszy niż 1 metr.","C","","1","B,B1"
"3630","Jaki odstęp należy zachować podczas wyprzedzania kolumny pieszych?","Bezpieczny, ale nie mniejszy niż 0,6 metra.","Bezpieczny, ale nie mniejszy niż 0,8 metra.","Bezpieczny, ale nie mniejszy niż 1 metr.","C","","1","B,B1"
"3634","Jak dwukrotne zwiększenie prędkości samochodu osobowego wpływa na długość jego drogi hamowania?","Zwiększa dwukrotnie długość drogi hamowania.","Zwiększa czterokrotnie długość drogi hamowania.","Nie powoduje zmiany długości drogi hamowania.","B","","1","B"
"3650","Jak duży odstęp od poprzedzającego pojazdu należy utrzymywać, kierując samochodem osobowym poza obszarem zabudowanym w tunelu o długości 600 metrów?","Nie mniejszy niż 50 metrów.","Nie mniejszy niż 40 metrów.","Nie mniejszy niż 30 metrów.","A","","1","B"
"3651","Który z czynników ma bezpośredni wpływ na długość drogi zatrzymania samochodu osobowego?","Czas reakcji kierującego pojazdem.","Masa pasażerów.","Masa pojazdu.","A","","1","B"
"3652","Który z czynników ma bezpośredni wpływ na długość drogi zatrzymania samochodu osobowego?","Masa pasażera.","Prędkość i stan nawierzchni.","Masa pojazdu.","B","","1","B"
"3722","Na którym zdjęciu zagłówek jest dobrze ustawiony?","A","B","C","A","zagłówekorg.jpg","1","B"
"3723","Który z wymienionych elementów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?","Trójkąt ostrzegawczy.","Apteczka.","Koło zapasowe.","A","","1","B"
"3724","Który z wymienionych elementów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?","Apteczka.","Gaśnica.","Koło zapasowe.","B","","1","B"
"3759","Którego z wymienionych świateł wolno Ci używać, gdy kierujesz samochodem osobowym podczas mgły?","Świateł do jazdy dziennej.","Świateł przeciwmgłowych przednich.","Wyłącznie świateł drogowych.","B","","1","B"
"3761","Którą z tych czynności masz obowiązek wykonać podczas wyprzedzania samochodem osobowym we mgle poza obszarem zabudowanym?","Dawać krótkotrwałe sygnały świetlne.","Dawać krótkotrwałe sygnały dźwiękowe.","Włączyć tylne światła przeciwmgłowe, niezależnie od stopnia ograniczenia widoczności.","B","","1","B"
"3778","Jak należy zachować się podczas wymijania samochodem osobowym w nocy innego pojazdu?","Patrzeć prosto w światła pojazdu nadjeżdżającego z przeciwka.","Zmienić światła mijania na drogowe.","Patrzeć w prawo od źródła światła pojazdu nadjeżdżającego z przeciwka i wypatrywać tam ewentualnej przeszkody.","C","","1","B"
"3781","Czy w każdym reflektorze samochodu osobowego wolno Ci zamiast żarówki halogenowej wykorzystywać lampę ksenonową?","Tak, w sytuacjach awaryjnych.","Nie, ponieważ może to doprowadzić do oślepienia innych kierujących.","Tak, jeżeli trzonek źródła światła pasuje do oprawki w reflektorze.","B","","1","B"
"3783","Która z wymienionych czynności jest dozwolona podczas kierowania samochodem osobowym?","Korzystanie z nawigacji.","Odpinanie pasa bezpieczeństwa.","Korzystanie z telefonu wymagającego trzymania słuchawki w ręku.","A","","1","B"
"3784","Jaka jest dopuszczalna minimalna głębokość bieżnika w oponie niewyposażonej we wskaźnik granicznego jej zużycia?","1,6 milimetra.","2,6 milimetra.","3 milimetry.","A","","1","B,B1"
"3785","Która z wymienionych usterek, uniemożliwia bezpieczne używanie samochodu w ruchu drogowym?","Zanieczyszczony wkład filtra powietrza.","Przegrzewające się elektrody świec zapłonowych.","Przepalona żarówka tylnego lewego kierunkowskazu.","C","","1","B"
"3856","Jaki może być skutek zbyt słabego nacisku na pedał hamulca w samochodzie osobowym?","Wydłużenie drogi hamowania.","Zablokowanie kół.","Utrata sterowności.","A","","1","B"
"3857","Do czego może doprowadzić zbyt mocne hamowanie samochodu osobowego niewyposażonego w system ABS?","Do skrócenia o co najmniej połowę drogi hamowania.","Do utraty sterowności.","Do zniszczenia hamulców.","B","","1","B"
"3858","Który ze sposobów hamowania samochodu osobowego wyposażonego w system ABS jest najbardziej efektywny?","Pulsacyjne wciskanie pedału hamulca.","Szybkie i mocne wciśnięcie pedału hamulca.","Wciśnięcie pedału sprzęgła, a następnie pedału hamulca.","B","","1","B"
"3859","Którą z czynności należy wykonać, gdy działający system ABS wypycha w czasie hamowania pedał hamulca?","Utrzymać siłę nacisku na pedał hamulca.","Zmniejszyć siłę nacisku na pedał hamulca.","Zwolnić pedał hamulca.","A","","1","B,B1"
"3860","W którym z przypadków system ABS może pomóc kierującemu pojazdem w utrzymaniu sterowności?","Przy hamowaniu, gdy pojazd wpadł w boczny poślizg.","Wyłącznie podczas hamowania na prostym odcinku drogi.","Wyłącznie podczas hamowania na zakręcie.","A","","1","B,B1"
"3861","Jaki efekt może wystąpić, gdy podczas ruszania na wzniesieniu zbyt wcześnie zwolnisz dźwignię hamulca awaryjnego, w porównaniu ze zwolnieniem pedału sprzęgła?","Unieruchomienie silnika.","Stoczenie się pojazdu.","Gwałtowne ruszenie.","B","","1","B"
"3882","Które z wymienionych działań należy podjąć, gdy w czasie jazdy zaświeci się na czerwono lampka kontrolna układu hamulcowego?","Zmniejszyć prędkość i czekać, aż lampka zgaśnie.","Zatrzymać pojazd i sprawdzić poziom płynu hamulcowego.","Kontynuować jazdę i zgłosić ten stan przy najbliższych badaniach okresowych pojazdu.","B","","1","B,B1"
"3885","O czym ostrzega świecąca się na czerwono w czasie jazdy samochodem osobowym lampka kontrolna układu chłodzenia?","O zbyt wysokiej temperaturze płynu chłodniczego.","O zbyt niskiej temperaturze płynu chłodniczego.","O zbyt niskim poziomie płynu do spryskiwania szyby.","A","","1","B"
"3889","Która z wymienionych okoliczności może świadczyć o złym stanie technicznym samochodu osobowego?","Emisja bezbarwnych spalin.","Pozostawione na miejscu parkowania ślady wycieków płynów eksploatacyjnych.","Zaświecenie się na czerwono lampki kontrolnej ładowania akumulatora przed uruchomieniem silnika.","B","","1","B"
"3890","Który z wymienionych przypadków może świadczyć o złym stanie technicznym samochodu osobowego?","Emisja czarnych lub niebieskich gęstych spalin.","Emisja bezbarwnych spalin.","Zaświecenie się na czerwono lampki kontrolnej ciśnienia oleju silnikowego przed uruchomieniem silnika.","A","","1","B"
"3891","W którym z wymienionych przypadków, używanie samochodu osobowego nie zagraża bezpieczeństwu ruchu drogowego?","Nadmiernie zużyte klocki lub tarcze hamulcowe.","Uszkodzone przednie amortyzatory.","Krótkotrwałe użycie koła dojazdowego, gdy jedna z opon uległa uszkodzeniu.","C","","1","B"
"3943","Jeśli tramwaj, wyposażony w hamulec szczękowy toczy się mimo wciśniętego hamulca i świecącej kontrolki hamulców postojowych, świadczyć to może o:","nadmiernej liczbie pasażerów w tramwaju.","zbyt małym napięciu ładowania akumulatorów.","zużyciu okładzin ciernych.","C","","1","PT"
"3976","W jaki sposób kierujący tramwajem powinien hamować?","Wykorzystując za każdym razem hamulce szynowe.","W sposób niepowodujący zagrożenia bezpieczeństwa ruchu.","Wykorzystując za każdym razem piasecznicę.","B","","1","PT"
"3983","Jak, kierując tramwajem, powinieneś zareagować, gdy warunki atmosferyczne ulegają pogorszeniu, np. pada deszcz lub opadają liście?","Powinienem zmniejszyć prędkość, dostosowując ją do panujących warunków.","Powinienem jechać z prędkością zbliżoną do maksymalnej, aby czas przejazdu był zgodny z czasem wskazanym w rozkładzie jazdy.","Nie powinienem zwracać na to uwagi, gdyż warunki atmosferyczne nie mają wpływu na jazdę tramwajem.","A","","1","PT"
"4009","Jak się zachowasz wjeżdżając na skrzyżowanie równorzędne?","Patrzę tylko na wprost.","Obserwuję całe skrzyżowanie i jego otoczenie.","Patrzę tylko na prawo.","B","","1","PT"
"4013","Z jakiego powodu motorniczy powinien zwolnić przejeżdżając przez miejsce z obniżoną siecią trakcyjną np. pod wiaduktem?","Ponieważ szybki przejazd przez takie miejsce powoduje echo, które może przeszkadzać mieszkańcom okolicznych domów.","Ponieważ szybki przejazd przez takie miejsce może uszkodzić odbierak prądu oraz trakcję.","Ponieważ będzie utrudnione hamowanie pojazdu.","B","","1","PT"
"4038","Która z wymienionych przyczyn może powodować przerwy w dopływie prądu wysokiego napięcia bezpośrednio do wagonu?","Uszkodzenie baterii.","Uszkodzenie dzwonka zewnętrznego.","Wyszczerbiona wkładka grafitowa pantografu.","C","","1","PT"
"4039","Jaki skutek może wywołać wyszczerbienie grafitowej wkładki pantografu?","Zwiększenie poboru prądu z sieci trakcyjnej.","Nadmierne kołysanie się, a nawet zerwanie sieci trakcyjnej.","Zawsze niezakłócone działanie pantografu.","B","","1","PT"
"4040","Kiedy używa się hamulca mechanicznego (nazywanego też postojowym)?","We wszystkich fazach hamowania.","Tylko w końcowej fazie hamowania i podczas postoju.","Tylko podczas postoju.","B","","1","PT"
"4041","Który z wymienionych czynników powoduje działanie hamulca postojowego?","Cewka elektromagnetyczna.","Docisk sprężyny.","Układ dźwigni.","B","","1","PT"
"4042","Od czego zależy sprawność hamulców elektrodynamicznych?","Od sprawności silników trakcyjnych.","Od sprawności baterii tramwaju.","Hamulce elektordynamiczne są niezależne od systemów tramwaju.","A","","1","PT"
"4043","Co należy zrobić aby zwolnić (zluzować) hamulce postojowe do holowania uszkodzonego tramwaju?","Wyłączyć wagon, po jego wyłączeniu hamulce są automatycznie zluzowane.","Odpiąć mechanicznie lub elektrycznie luzowniki.","Ustawić nawrotnik w położenie neutralne.","B","","1","PT"
"4059","Jakiego rodzaju hamulcem jest hamulec postojowy?","Aktywny - działa tylko po załączeniu tramwaju i naciśnięciu pedału hamulca.","Pasywny - działa nawet po wyłączeniu tramwaju.","Pasywny - działa tylko po opuszczeniu pantografu w wagonie.","B","","1","PT"
"4063","Jaki skutek wywoła zatrzymanie wagonu w miejscu styku pantografu z izolatorem?","Zanik rozruchu wagonu oraz pracy przetwornicy.","Zadziałanie hamulców szynowych.","Uszkodzenie grafitowej wkładki pantografu.","A","","1","PT"
"4065","W jakich sytuacjach motorniczy może wpuścić lub wypuścić pasażera, któremu się bardzo śpieszy?","W czasie oczekiwania na zmianę światła.","Tylko znajdując się na przystanku.","Poza przystankiem, na wyraźną prośbę pasażera.","B","","1","PT"
"4066","Które, z tych oznaczeń tramwaju, oprócz oznakowania liniowego, jest wymagane?","Numer taborowy.","Tablica rejestracyjna, jak samochody.","Numer taborowy, logo i nazwa miasta, w którym porusza się tramwaj.","A","","1","PT"
"4067","W jakich miejscach motorniczy może wpuszczać lub wypuszczać pasażerów?","W każdym miejscu, w tym także na przystankach.","Na przystankach.","Wyłącznie na pętlach.","B","","1","PT"
"4069","Czy kierując tramwajem, masz obowiązek posiadać przy sobie pozwolenie na kierowanie tym pojazdem?","Tak, zawsze.","Nie, ponieważ nie jest wymagane w komunikacji miejskiej.","Nie, o ile posiada odpowiedni dokument wydany przez pracodawcę.","A","","1","PT"
"4071","Jak należy postąpić w przypadku wymiany przepalonego bezpiecznika topikowego - wysokiego napięcia?","Jedynie wyłączyć przetwornicę.","Opuścić pantograf (odbierak).","Jedynie założyć rękawice.","B","","1","PT"
"4072","Co powinien zrobić motorniczy przed rozpoczęciem jazdy, bezpośrednio po zamknięciu drzwi?","Uważnie obserwować otoczenie dookoła i podać sygnał odjazdu dzwonkiem.","Wystarczy, że poda sygnał odjazdu dzwonkiem.","Wyłącznie sprawdzić sygnalizację zamknięcia drzwi.","A","","1","PT"
"4073","Jaka pozycja motorniczego jest prawidłowa podczas ręcznego przestawiania zwrotnicy?","Pozycja motorniczego nie ma znaczenia.","Tyłem do tramwaju.","Przodem do tramwaju.","C","","1","PT"
"4075","W jakim miejscu motorniczy może wypuścić pasażerów z powodu długotrwałych utrudnień w ruchu drogowym?","W dowolnie wybranym miejscu.","Jedynie na przystanku, bez względu na okoliczności.","W miejscu, w którym nie ma zagrożenia dla pasażerów i dla ruchu drogowego.","C","","1","PT"
"4076","Co powinien zrobić motorniczy, aby bezpiecznie dokonać elektrycznego połączenia wagonów?","Wystarczy, że opuści pantografy.","Wystarczy, że odłączy akumulatory.","Opuścić pantografy i odłączyć akumulatory.","C","","1","PT"
"4077","Jak powinien zachować się motorniczy przed wyjściem z kabiny na jezdnię, poza przystankiem, w celu ręcznego ustawienia zwrotnicy?","Wyłączyć przetwornicę.","Zaparkować tramwaj i upewnić się czy może bezpiecznie opuścić kabinę.","Wyłączyć wszystkie światła tramwaju i ustawić nawrotnik w położenie neutralne.","B","","1","PT"
"4078","Co może być przyczyną przerwania jazdy w czasie rozruchu, jeżeli dzwoni dzwonek wewnętrzny i brak jest sygnalizacji zamkniętych drzwi?","Otwarcie okna, jeżeli wnętrze jest klimatyzowane.","Awaryjne otwarcie drzwi przez pasażera.","Przepalenie się bezpiecznika przetwornicy.","B","","1","PT"
"4079","Jak powinieneś zachować się, gdy kierujesz tramwajem w czasie burzy z wyładowaniami atmosferycznymi i obawiasz się uderzenia pioruna?","Zatrzymać tramwaj, opuścić pantografy i wypuścić pasażerów.","Kontynuować jazdę, wnętrze tramwaju jest bezpieczne.","Zatrzymać tramwaj, opuścić pantografy i nie wypuszczać pasażerów.","B","","1","PT"
"4080","Jak powinien zachować się motorniczy przejeżdżając przez miejsca z obniżoną siecią trakcyjną np. pod wiaduktem?","Zmniejszyć prędkość na całym odcinku obniżenia.","Zwiększyć prędkość na całym odcinku obniżenia.","Zawsze utrzymać stałą prędkość.","A","","1","PT"
"4081","W jaki sposób powinien jechać motorniczy zbliżając się do skrzyżowania?","Na wybiegu lub hamując.","Na rozruchu, przyspieszając.","Z maksymalną dopuszczalną prędkością.","A","","1","PT"
"4082","W jakiej sytuacji motorniczy może bezpiecznie przejechać przez zwrotnicę?","Gdy sygnalizator zwrotnicy wskazuje, że została przestawiona.","Bez zwracania na nią uwagi, jeśli ma opóźnienie względem rozkładu jazdy.","Gdy iglice zwrotnicy prawidłowo przylegają.","C","","1","PT"
"4083","Jakiego zachowania wymaga od motorniczego przejazd tramwajem przez zwrotnice i krzyżownice?","Zwiększenia prędkości.","Zmniejszenia prędkości.","Bez zmiany prędkości.","B","","1","PT"
"4084","Jaką zasadą techniki jazdy powinien kierować się motorniczy wjeżdżając w ostry łuk toru?","Zachowania dotychczasowej prędkości.","Zwiększania prędkości.","Zmniejszania prędkości.","C","","1","PT"
"4085","Jaki wpływ na obsługę urządzeń sterujących ma ustawienie fotela motorniczego?","Nie ma żadnego wpływu.","Ma niewielki wpływ.","Ma kluczowy wpływ.","C","","1","PT"
"4086","Jeśli wystąpi poślizg kół tramwaju w czasie rozruchu, należy go przerwać, a następnie:","ponowić rozruch łagodniej.","ponowić rozruch bardziej energicznie.","koniecznie zatrzymać tramwaj.","A","","1","PT"
"4087","Co powinien zrobić motorniczy podczas nagłego pojawienia się pojazdu na torach bezpośrednio przed tramwajem?","Łagodnie hamować aby nie powodować zagrożenia dla pasażerów.","Zdecydowanie hamować starając się uniknąć zderzenia.","Zrezygnować z hamowania.","B","","1","PT"
"4088","Jak należy prowadzić rozruch tramwaju?","W sposób nie powodujący poślizgu kół.","W sposób powodujący znaczne przyspieszenie.","W sposób nie powodujący dużego obciążenia baterii akumulatorów.","A","","1","PT"
